item,campanha,nivel,alteracao,cliente_provavel,decisao,responsavel,status
1,,,,,investigar,Rodnei,pendente
2,,,,,investigar,Rodnei,pendente
3,,,,,investigar,Rodnei,pendente
4,,,,,investigar,Rodnei,pendente
5,,,,,investigar,Rodnei,pendente
6,,,,,investigar,Rodnei,pendente
7,,,,,investigar,Rodnei,pendente
8,,,,,investigar,Rodnei,pendente
9,,,,,investigar,Rodnei,pendente
10,,,,,investigar,Rodnei,pendente
11,,,,,investigar,Rodnei,pendente
12,,,,,investigar,Rodnei,pendente
13,,,,,investigar,Rodnei,pendente
14,,,,,investigar,Rodnei,pendente
15,,,,,investigar,Rodnei,pendente
